pathway_id	pathway_name	system_type	category	reaction_id	step_order	required	alternative_group	alternative_set	notes	topology_status	source_id
BMOD_PET_DEPOLYMERIZATION	PET polymer depolymerization potential	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_PET_HYD	1	yes			Direct PET polymer-attack evidence. A generic esterase/cutinase alone must not be promoted to SUPPORTED without PET-specific evidence.	CURATED_DIRECT_POLYMER_ATTACK	SRC_PET_KNOCKOUT_2021
BMOD_PET_DEPOLYMERIZATION	PET polymer depolymerization potential	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_MHET_HYD	2	no			Supporting PET assimilation function; MHETase is not itself evidence of intact PET polymer attack.	CURATED_SUPPORTING	SRC_PET_KNOCKOUT_2021
BRP_TPA_TO_PCA	Terephthalate assimilation entry — TPA to protocatechuate	PATHWAY	plastic_monomer_biodegradation	BRXN_TPA_DIOX	1	yes			Requires all three TPADO components TphA1/A2/A3.	CURATED_TWO_STEP_ENTRY	SRC_TPA_E6_2006
BRP_TPA_TO_PCA	Terephthalate assimilation entry — TPA to protocatechuate	PATHWAY	plastic_monomer_biodegradation	BRXN_TPA_DCD_DH	2	yes			Converts the TPADO dihydrodiol product to protocatechuate.	CURATED_TWO_STEP_ENTRY	SRC_TPA_E6_2006
BMOD_PET_ASSIMILATION_CORE	PET assimilation core (polymer to TPA/PCA entry)	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_PET_HYD	1	yes			Direct polymer depolymerization gate.	CURATED_CORE	SRC_PET_KNOCKOUT_2021
BMOD_PET_ASSIMILATION_CORE	PET assimilation core (polymer to TPA/PCA entry)	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_MHET_HYD	2	yes			MHET processing gate.	CURATED_CORE	SRC_PET_KNOCKOUT_2021
BMOD_PET_ASSIMILATION_CORE	PET assimilation core (polymer to TPA/PCA entry)	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_TPA_DIOX	3	yes			TPA aromatic-ring activation gate; all TPADO components required.	CURATED_CORE	SRC_TPA_E6_2006
BMOD_PET_ASSIMILATION_CORE	PET assimilation core (polymer to TPA/PCA entry)	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_TPA_DCD_DH	4	yes			TPA dihydrodiol to PCA. Downstream PCA 4,5-cleavage and EG utilization are NOT yet claimed by this core module.	CURATED_CORE_LIMITED	SRC_TPA_E6_2006
BMOD_PCL_DEPOLYMERIZATION	PCL polymer depolymerization potential	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_PCL_DEP	1	yes			Direct PCL polymer-attack module. Generic cutinase/lipase annotation alone is not accepted as support; exact PCL wording or stringent sequence evidence is required.	CURATED_DIRECT_POLYMER_ATTACK	SRC_PCL_TFUSCA_2005
BMOD_PBAT_DEPOLYMERIZATION	PBAT polymer depolymerization potential	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_PBAT_DEP	1	yes			Direct PBAT polymer-attack module. Generic cutinase/lipase annotation alone is insufficient; exact PBAT wording or stringent sequence evidence is required.	CURATED_DIRECT_POLYMER_ATTACK	SRC_PBAT_TFCUT_2023
BMOD_PU_DEPOLYMERIZATION	Polyester polyurethane depolymerization potential	FUNCTIONAL_MODULE	plastic_biodegradation	BRXN_PU_DEP	1	yes			Conservative polyester-PU module. Exact pueA/pueB/polyurethanase annotation can support; generic lipase/esterase does not.	CURATED_DIRECT_POLYMER_ATTACK_CONSERVATIVE	SRC_PU_PF5_2016
